"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2563",37,"UMBS",422,"D02W",242,"FAGR",8.7,"L","UN","6/22/2018",NA,NA,"D","8-13"
"2564",38,"UMBS",422,"D02W",243,"ACRU",10.7,"L","OS","6/22/2018","0243- 0245 SHARE BASE",NA,"D","8-13"
"2565",39,"UMBS",422,"D02W",244,"ACRU",10.6,"L","OS","6/22/2018","0243- 0245 SHARE BASE",NA,"D","8-13"
"2566",40,"UMBS",422,"D02W",245,"ACRU",8.6,"L","OS","6/22/2018","0243- 0245 SHARE BASE",NA,"D","8-13"
"2567",41,"UMBS",422,"D02W",246,"QURU",18.2,"D","OS","6/22/2018",NA,NA,"D","18-23"
"2568",42,"UMBS",422,"D02W",247,"QURU",26.8,"L","OD","6/22/2018",NA,NA,"D","23-28"
"2569",43,"UMBS",422,"D02W",248,"QURU",27.2,"L","OD","6/22/2018",NA,NA,"D","23-28"
"2570",44,"UMBS",422,"D02W",249,"FAGR",11.2,"L","UN","6/22/2018",NA,NA,"D","8-13"
"2571",45,"UMBS",422,"D02W",250,"ACRU",10.3,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2572",46,"UMBS",422,"D02W",251,"ACRU",9,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2573",47,"UMBS",422,"D02W",252,"QURU",33.1,"L","OD","6/22/2018","0525- 0253 SHARE BASE",NA,"D","33-38"
"2574",48,"UMBS",422,"D02W",253,"QURU",40.9,"L","OD","6/22/2018","0525- 0253 SHARE BASE",NA,"D","38-43"
"2575",49,"UMBS",424,"D02W",254,"QURU",22,"L","OD","6/22/2018",NA,NA,"D","18-23"
"2576",50,"UMBS",422,"D02W",255,"ACRU",9.8,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2577",51,"UMBS",422,"D02W",256,"PIST",20.1,"M","OS","6/22/2018",NA,NA,"D","18-23"
"2578",52,"UMBS",422,"D02W",257,"QURU",31.7,"L","OD","6/22/2018","0257- 0258 SHARE BASE",NA,"D","28-33"
"2579",53,"UMBS",422,"D02W",258,"QURU",33.1,"L","OD","6/22/2018","0257- 0258 SHARE BASE",NA,"D","33-38"
"2580",55,"UMBS",422,"D02W",260,"QURU",22.8,"M","OD","6/22/2018",NA,NA,"D","18-23"
"2581",56,"UMBS",422,"D02W",261,"ACRU",9.5,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2582",57,"UMBS",422,"D02W",262,"UNKNOWN",8.4,"D","UN","6/22/2018",NA,NA,"D","8-13"
"2583",58,"UMBS",422,"D02W",263,"UNKNOWN",10.9,"D","UN","6/22/2018",NA,NA,"D","8-13"
"2584",59,"UMBS",422,"D02W",264,"QURU",22.4,"L","OD","6/22/2018","0264- 0265 SHARE BASE",NA,"D","18-23"
"2585",60,"UMBS",422,"D02W",265,"QURU",21.4,"L","OD","6/22/2018","0264- 0265 SHARE BASE",NA,"D","18-23"
"2586",61,"UMBS",422,"D02W",266,"QURU",23.7,"L","OD","6/22/2018",NA,NA,"D","23-28"
"2587",62,"UMBS",422,"D02W",267,"ACRU",8.8,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2588",63,"UMBS",422,"D02W",268,"QURU",30.6,"L","OD","6/22/2018","0268- 0269 SHARE BASE",NA,"D","28-33"
"2589",64,"UMBS",422,"D02W",269,"QURU",35.1,"L","OD","6/22/2018","0268- 0269 SHARE BASE",NA,"D","33-38"
